,URLs
208,https://gts.jo/en/surge-protection-power-strip-with-6-outputs-including-2-usb-c-ports-1-usb-a-port-3-ac-outlets-usb-c-port-supports-max-30w-fast-charging-for-laptops-phones-18-months-warranty?search=%20&page=359
209,https://gts.jo/en/new-laptop-lenovo-thinkpad-e16-gen-3-amd-ryzen-7-250-8-core-thread-up-to-5-1ghz-amd-radeon-780m-graphics-16gb-ddr5-5600-16-wuxga-with-casual-toploader?search=%20&page=76
210,https://gts.jo/en/canon-pixma-tr150-wireless-portable-printer-1-44-inch-led-screen-vibrant-print-details-wi-fi-connectivity?search=%20&page=148
211,https://gts.jo/en/hp-laptop-laptop-15s-fq5019ne-core-i5-1235u-512gb-ssd-m-2-12th-generation-silver?search=%20&page=219
212,https://gts.jo/en/hp-all-in-one-22-b314ne-core-i3?search=%20&page=205
213,https://gts.jo/en/hp-pavilion-laptop-13-an0006ne-core-i5?search=%20&page=229
214,https://gts.jo/en/hp-laptop-laptop-15s-fq5000nia-core-i3-256gb-ssd-m-2-12th-generation?search=%20&page=219
215,https://gts.jo/en/hp-color-laserjet-pro-mfp-4303fdw-color-a4-wireless-duplex-4-in-one-fax-print-copy-scan-printer-black?search=%20&page=208
216,https://gts.jo/en/logitech-m187-wireless-mouse?search=%20&page=353
217,https://gts.jo/en/headset-gaming-gm-009-aux?search=%20&page=196
218,https://gts.jo/en/laptop-2024-asus-rog-strix-g18-intel-core-i9-14900hx-rtx-4060-18-2-5k-240hz-eclipse-gray-14th-generation-1-1?search=%20&page=278
219,https://gts.jo/en/hp-series-5-27-inch-fhd-100hz-ips-panel-hp-eye-ease-with-eyesafe-2x-hdmi-1-4-1x-vga-99-percent-srgb-spectrum-300-nits-brightness-height-adjustmonitor-527sh?search=%20&page=33
220,https://gts.jo/en/hp-pro-300-g6-core-i5-10th-generation-monitor-22?search=%20&page=231
221,https://gts.jo/en/laptop-asus-vivobook-16x-intel-core-i5-12500h-processor-nvidia-rtx-2050-4gb-gddr6-16gb-ddr4-customized-16-0-inch-wuxga-144hz-windows-11-home-indie-black?search=%20&page=292
222,https://gts.jo/ar/product/search?search=%20&page=256
223,https://gts.jo/en/okade-laptop-sleeve-x02-13-3?search=%20&page=388
224,https://gts.jo/en/laptop-msi-cyborg-15-a13vf-core-i7-13620h-13th-generation-rtx-4060-8gb-ddr6-15-6-144hz-translucent-black?search=%20&page=324
225,https://gts.jo/en/epson-ecotank-et-m3170-wireless-monochrome-39ppm-all-in-one-supertank-printer-wi-fi-direct-with-adf-fax-and-ethernet-plus-2-years-of-unlimited-ink?search=%20&page=179
226,https://gts.jo/en/hp-omnibook-ultra-flip-laptop-14-fh0001ne-intel-core-ultra-7-256v-intel-evo-2-in-1-16-gb-lpddr5x-14-0-3k-2880-x-1800-oled-micro-edge-120-hz-touch-screen-windows-11-home-eclipse-gray?search=%20&page=227
227,https://gts.jo/en/hdmi-to-hdmi-optical-cable-4k-60hz-uhd-5m?search=%20&page=24
228,https://gts.jo/en/linkcomn-power-strip-ps421-5m-eu?search=%20&page=350
229,https://gts.jo/en/dell-latitude-5530-15-6-fhd-12th-gen-intel-core-i5-1235u-8gb-ram-m-2-512g-pcie-nvme-titan-grey-business-laptop?search=%20&page=16
230,https://gts.jo/ar/product/search?search=%20&page=137
231,https://gts.jo/en/thinkcentre-m700-tower-core-i3?search=%20&page=341
232,https://gts.jo/en/hp-ink-cartridge-953xl-color?search=%20&page=215
233,https://gts.jo/en/promate-2000a-12v-high-capacity-jump-starter-12000mah-power-bank-with-air-compressor-led-flashlight?search=%20&page=399
